0,1,2
-2.5444,-10.134,-3.7576
-3.8025,-20.0981,-6.3494
-6.6451,-23.4557,-9.256
-10.05,-15.3809,-10.6715
-10.0351,-5.6654,-9.2256
-5.5535,-6.398,-6.5327
-0.1846,-11.2982,-3.7665
2.5425,-4.0028,0.3175
2.3295,12.8235,5.0393
1.3924,19.0142,7.01
2.1379,9.0944,5.5951
4.4605,0.03,4.1443
5.2769,3.9365,4.6209
1.8734,11.7019,4.4084
-4.5409,8.2245,0.0406
-9.4443,-7.2664,-6.9777
-9.735,-21.3754,-10.9782
-7.3744,-23.4468,-9.9793
-6.5541,-17.4066,-8.515
-7.7497,-14.1529,-9.7962
-7.358,-15.3105,-10.0936
-3.0299,-11.7559,-5.0645
3.0914,0.9026,2.8118
6.6534,13.9312,7.6538
5.624,17.082,7.7248
2.1311,11.5518,5.4294
-0.7333,4.6714,2.1965
-3.2508,-3.4123,-2.8041
-7.9662,-17.3118,-9.4505
-14.0142,-30.9136,-14.3884
-15.9433,-29.3992,-13.4688
-10.666,-12.9693,-7.2492
-2.4576,-0.6233,-1.4043
2.9508,-0.9031,0.9308
5.7109,-0.0956,2.8347
8.0272,10.0869,6.166
7.7782,17.2676,7.0884
2.954,12.1507,3.499
-2.4824,3.3414,-0.6062
-4.4872,-2.1204,-2.594
-5.4227,-9.161,-4.7957
-7.6846,-16.6268,-6.8848
-7.2857,-13.3926,-4.2951
-1.4327,-0.2805,2.0343
4.2619,7.8526,4.8649
3.8184,6.0415,2.4095
-0.2541,2.8888,0.0134
-2.0495,1.8319,-0.1473
-0.4105,-0.3571,-0.177
-1.1742,-0.4632,-0.2478
-2.0676,-8.8693,-3.8171
-3.6261,-10.8238,-5.5842
-5.8919,-7.5787,-5.613
-7.1641,-5.3707,-4.8203
-4.2612,-4.6037,-2.2789
2.8744,1.371,3.2396
8.2669,12.458,8.6461
7.0399,17.2427,8.8033
2.5441,10.1555,4.1701
0.2944,1.4972,0.3593
0.1001,1.2144,0.0429
-0.4694,4.4528,0.5729
-1.6616,1.708,-1.0708
-3.6472,-7.1641,-4.6926
-6.3917,-15.754,-7.5295
-7.3538,-19.2398,-7.1154
-4.4483,-14.8746,-3.5574
0.5581,-1.9124,1.4528
4.4199,14.1966,6.5046
5.8395,23.4308,9.8645
5.3756,21.03,9.3928
3.4258,11.0627,4.702
-0.3858,-0.5417,-2.0735
-5.0707,-9.7599,-7.4672
-7.4411,-12.8217,-8.4311
-6.0228,-9.7317,-5.3074
-3.6944,-7.0503,-2.5002
-3.5398,-9.2751,-3.1143
-4.2317,-11.7329,-4.5703
-2.1461,-7.6662,-2.5953
3.3656,3.0222,2.7699
8.9915,14.9633,8.0077
11.2008,22.349,10.6507
8.8135,21.6975,10.0329
2.4246,12.8263,5.492
-5.1859,-0.7137,-2.1634
-9.0274,-12.2063,-8.4338
-7.3064,-16.5479,-9.2708
-4.7475,-15.7085,-6.6502
-4.9423,-14.4695,-4.8842
-4.0897,-11.256,-3.3675
1.3394,-0.5857,1.1884
7.1102,14.7605,7.3989
7.6727,21.4165,9.5124
4.0461,11.1228,4.8071
0.7379,-5.0217,-2.1689
-0.3612,-8.9065,-4.3799
-0.4523,-0.4507,-1.0669
-1.2041,4.4504,1.5059
-2.853,-0.5978,-0.6859
-4.174,-5.6586,-4.0423
-4.1447,-2.9419,-3.8176
-2.8639,1.7148,-1.2592
-0.7622,-0.4265,-0.3149
1.6233,-6.23,-0.6936
3.2109,-5.0776,0.6794
3.0142,3.2264,2.9525
1.0509,6.814,1.9585
-1.3458,0.3922,-2.1764
-1.8456,-6.6451,-3.7882
0.5848,-4.48,0.0173
3.4745,3.8623,4.6316
3.5255,8.0815,4.5392
1.0228,5.2882,0.9264
-1.126,2.8374,-1.0558
-1.1529,4.8643,0.0143
0.7492,4.0595,0.9113
2.5523,-5.3946,-0.8317
1.0239,-14.3473,-3.8555
-3.4013,-10.5607,-4.9125
-4.1696,1.3252,-2.2405
